,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,nextAudacc,nextbank,nextfinan
176,2024 fall,A Technology company ,Consulting positions in big name companies ,Business analysis ,HK or Shenzhen,Consulting ,HK,No idea,No idea,HK,,,,,,,,False,False,False
177,May 2023,UNICEF HK\, EY\, etc.,/,/,Big Four,management consultant,Probably the same,management consultant,probably the same but do not know whether I will still be very devoted to it,Uncertain,,,,,,False,False,False
178,June 2024,Local consulting firm\, PwC and HSBC in Hong Kong,,Data Science,Hong Kong,Consultant specialises in the tech field,Hong Kong,Senior consultant? Haha,In-house consultant,Hong Kong,,,,,,,False,False,False
179,2024,Big4,Big4,ACCT,Big4,Big4,Big4,Big4,/,/,,,,,,,,True,False,False
180,June 2024,DBS Bank\, PwC,Goldman Sachs,Finance Master,Investment Bank,Accounting / Financial Controllers,Investment Bank,Accounting / Financial Controllers,Accounting / Financial Controllers,Investment Bank,,,,,,,False,True,False
181,May 2024,PwC HK,Auditing.,All required course.,HK\, audit firm,Auditor\, finance researcher.,Probably still HK\, same company,The same job!,To be honest\, I want to be a farmer if possible (which means I have enough money to support my hobby),No sure\, but I want to work in US to feel the atmosphere.,,,False,False,True
182,Spring 2022/23,PwC ,PwC ,N/A,Hk ,Audit ,No sure ,Audit ,Retirement ,No specific,,,,,,,,True,False,False
183,2024,CPA firm\, tax team,big4\, tax or consulting,finance,hk,tax or consulting,not sure,not sure,not sure,not sure,,,,,,False,False,False
184,2024,accounting firm,banks or accounting firms,accounting,banks or accounting firms,financial analyst or consultant ,banks or accounting firms,financial analyst or consultant,financial analyst or consultant,banks or accounting firms,,,,,,,,False,False,True
185,2024,Big 4; Western Securities,Finance (especially equity tesearch),Accounting (for information) or Development economics,Hong Kong,Finance - IBD,Singapore,Fund manager,Fund manager,US,,,,,,,,False,False,True
186,Fall 2023,Grant Thornton,Grant Thornton,Accounting,HK,Auditing,HK,Auditing,Auditing,HK,,,,,,,,True,False,False
